step,reward,acc,fmt,len,clipped,mem,step_time,lr,ppl_abs_diff,ess,is_weight,clipped_frac,r_std,zero_std,grad,tr_ppl,ro_ppl
125,0.5352,0.3393,0.9911,975.5,0.008929,84.88,74.58,9.99e-06,0.0613,0.9877,0.996,0.002251,0.3936,0,0.00616,1.669,1.57
126,0.5911,0.4018,0.9821,1381,0.01786,84.88,91.02,9.99e-06,0.04855,0.9896,0.9968,0.001189,0.3922,0,0.006845,1.661,1.581
127,0.5725,0.3839,0.9732,1147,0.02679,84.88,58.44,9.99e-06,0.05926,0.9857,0.9951,0.00256,0.4122,0,0.0068,1.657,1.557
128,0.5675,0.3705,0.9955,1141,0.004464,84.88,61.05,9.99e-06,0.0628,0.9852,0.9949,0.002515,0.4081,0,0.006651,1.833,1.719
129,0.5761,0.3795,0.9955,1170,0.004464,84.88,54.08,9.99e-06,0.05463,0.9881,0.9969,0.002059,0.406,0,0.005423,1.693,1.601
130,0.5626,0.3661,0.9955,1180,0.004464,84.88,67.51,9.99e-06,0.05071,0.989,0.9959,0.001735,0.3775,0,0.005182,1.558,1.481
131,0.5696,0.3705,0.9955,696.8,0,84.88,37.38,9.99e-06,0.05566,0.9873,0.9962,0.001861,0.4068,0,0.004464,1.895,1.792
132,0.6811,0.4866,0.9866,807.6,0.008929,84.88,40.48,9.99e-06,0.07428,0.9869,0.9945,0.002381,0.4649,0,0.005016,1.813,1.678
133,0.6552,0.4554,1,806.2,0,84.88,53.94,9.99e-06,0.08931,0.9776,0.9914,0.004826,0.4803,0,0.00659,2.01,1.819
134,0.6826,0.4866,0.9911,640.2,0.004464,84.88,43.13,9.99e-06,0.07571,0.9876,0.995,0.002158,0.4315,0,0.005228,1.689,1.564
135,0.5936,0.3973,0.9911,835.9,0.004464,84.88,64.58,9.99e-06,0.05902,0.9889,0.9955,0.001265,0.434,0,0.007315,1.819,1.711
136,0.7125,0.5134,0.9955,704.4,0,84.88,25.22,9.99e-06,0.06138,0.9876,0.995,0.001902,0.4551,0,0.005126,1.724,1.62
137,0.642,0.4464,0.9888,869.5,0.008929,84.88,42.51,9.99e-06,0.07219,0.9864,0.9954,0.002046,0.4301,0,0.007004,1.694,1.575
138,0.6777,0.4866,0.9777,894,0.02232,84.88,56.83,9.99e-06,0.07165,0.9867,0.9946,0.002405,0.438,0,0.00528,1.748,1.63
139,0.6128,0.4152,0.9955,727.3,0.004464,84.88,37.64,9.99e-06,0.06344,0.988,0.996,0.001987,0.4038,0,0.004802,1.813,1.696
140,0.673,0.4732,1,768.1,0,84.88,48.87,9.99e-06,0.07034,0.9861,0.9936,0.002504,0.4654,0,0.005682,1.706,1.58
141,0.658,0.4643,0.9821,933.6,0.01339,84.88,41.36,9.98e-06,0.05553,0.99,0.9965,0.001166,0.4003,0,0.005696,1.721,1.627
142,0.6444,0.4598,0.9643,1287,0.03571,84.88,55.49,9.98e-06,0.05235,0.9878,0.9967,0.00182,0.4385,0,0.006556,1.701,1.61
143,0.5281,0.3348,0.9844,975,0.01339,84.88,52.7,9.98e-06,0.0869,0.976,0.9886,0.006446,0.3665,0,0.004505,1.93,1.734
144,0.5797,0.3839,0.9911,650.4,0.008929,84.88,61.93,9.98e-06,0.08503,0.9853,0.9938,0.002418,0.4199,0,0.004466,1.725,1.581
145,0.7022,0.5089,0.9911,963,0.008929,84.88,90.27,9.98e-06,0.08533,0.9854,0.9942,0.002728,0.4474,0,0.004808,1.765,1.608
146,0.5732,0.375,0.9955,693.5,0.004464,84.88,68.94,9.98e-06,0.08221,0.9832,0.9946,0.00327,0.4192,0,0.006812,1.906,1.754
147,0.6525,0.4598,0.9799,945.5,0.01339,84.88,75.84,9.98e-06,0.07698,0.9853,0.9945,0.002996,0.4297,0,0.007766,1.85,1.71
